,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Verte Ir","DJ Luian",1853347,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
2,Fingías,"Paloma Mami",1803063,https://open.spotify.com/track/7o0oY5wRcoV7oPuDhD2J1z
3,"Pa Mí - Remix",Dalex,1689938,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
4,"Con Calma","Daddy Yankee",1478602,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
5,"Sigue Bailandome",Yannc,1289387,https://open.spotify.com/track/0GmiGIxXDNrePrHBpijYDp
6,Secreto,"Anuel AA",1264122,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
7,"Te Robaré","Nicky Jam",1249537,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
8,"Tal Vez","Paulo Londra",1230232,https://open.spotify.com/track/46lvmzK8wxAy66tjzXXSh0
9,"No Te Enamores","Paloma Mami",1196236,https://open.spotify.com/track/0EJu1RBtxzldMG2peczuPv
10,Amanece,"Anuel AA",1059403,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
11,"Si Se Da","Myke Towers",1029843,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
12,"Que Mas Pues - Remix",Sech,983373,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
13,"Adan y Eva","Paulo Londra",907967,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
14,"Not Steady","Paloma Mami",877796,https://open.spotify.com/track/42ArfZUgGo3k5btIHp08it
15,"Calma - Remix","Pedro Capó",869324,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
16,"Baila Baila Baila",Ozuna,868426,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
17,"La Romana","Bad Bunny",853691,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv
18,"Hookah & Sheridan s","Tommy Boysen",841794,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH
19,Adictiva,"Daddy Yankee",824866,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
20,Desconocidos,"Mau y Ricky",799979,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
21,"Un Año","Sebastian Yatra",785791,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
22,HP,Maluma,765223,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
23,"MY BLOOD","Polimá Westcoast",759736,https://open.spotify.com/track/2hMemEDS1l5hrjLWwU1MNt
24,"Esclavo de Tus Besos","Manuel Turizo",722287,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
25,"Con Altura",ROSALÍA,707196,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
26,"MIA (feat. Drake)","Bad Bunny",686777,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
27,"Que Le De","Rauw Alejandro",680891,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ
