,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"HIGHEST IN THE ROOM","Travis Scott",507969,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
2,"Dance Monkey","Tones And I",460707,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,110,"Capital Bra",356728,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
4,"Berlin lebt wie nie zuvor","Capital Bra",297473,https://open.spotify.com/track/2pfio0uHpT4USTPBNeTIWo
5,Señorita,"Shawn Mendes",233705,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
6,Roller,"Apache 207",232843,https://open.spotify.com/track/5dhQeuLGmlhfwlI6BWfSpo
7,2002,Sido,182154,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
8,POPOPOP,Gambi,181412,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
9,"Someone You Loved","Lewis Capaldi",179681,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,Tilidin,"Capital Bra",179314,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
11,"Honda Civic","The Cratez",174033,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud
12,"Beautiful People (feat. Khalid)","Ed Sheeran",167839,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
13,"Lieber Gott","Capital Bra",162809,https://open.spotify.com/track/1vbkGTBLNJYRvT5GJlWXLf
14,Huracan,Samra,159225,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
15,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",158506,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
16,"200 km/h","Apache 207",148783,https://open.spotify.com/track/2wvLtM25eMpHK7hkidqte2
17,Circles,"Post Malone",141948,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"Mr. Miyagi","Capital Bra",137592,https://open.spotify.com/track/7gIORSoIKw1q4BtD9xLv6K
19,"So alleine","Capital Bra",132264,https://open.spotify.com/track/3tvgQvCRAzZrVelEy3ca0t
20,Safe,"Capital Bra",131021,https://open.spotify.com/track/48MObOqsm6N19vdc3AdYsu
21,Tranquillo,"Capital Bra",130928,https://open.spotify.com/track/2JGCmuEB2wYvxyBuuXSfDu
22,"Kalt Bruder","Capital Bra",128085,https://open.spotify.com/track/4yoqO3xixoJN4lxysk6aFB
23,Lalala,Y2K,127195,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
24,"Purple Rain","Capital Bra",125908,https://open.spotify.com/track/5BQwQDyMKyo4GCV7cDId21
25,"Nummer 1","Capital Bra",124969,https://open.spotify.com/track/3ME2RHvx9JyVQjFFMbLIvt
26,"bad guy","Billie Eilish",123463,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
27,China,"Anuel AA",118069,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
28,"It's You","Ali Gatie",115910,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
29,"Piece Of Your Heart",MEDUZA,115787,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
30,"Summer Cem (feat. Luciano)","Summer Cem",114591,https://open.spotify.com/track/3QIrkRSTz3yPd44HzN6qJr
31,"Higher Love",Kygo,114105,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
32,"I Don't Care (with Justin Bieber)","Ed Sheeran",113925,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
33,"Kriminal 2","Capital Bra",112724,https://open.spotify.com/track/0IYeDX2PULhKBySpB2mYmF
34,Ransom,"Lil Tecca",112391,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
35,"10,000 Hours (with Justin Bieber)","Dan + Shay",112165,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
36,Colombiana,"Capital Bra",110924,https://open.spotify.com/track/79QY2nAPZA9NqN66fvD8AH
37,Fabergé,RIN,109554,https://open.spotify.com/track/7lnQCEtaDJeMZN75siSxLc
